,Song,Song_ID,Artists,Artists_Id,Popularity,Lengthofsing_ms,danceability,energy,loudness,Modemajor1_happier,acousticness,valence,tempo,Release_date,Album_type,source,Fear,Trust,Joy,Disgust,Anticipation,Sadness,Suprise,Anger,Negative,Positive
2041,Me Quedo,301E9bwin8Gh2PCp0doIDz,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,67,235533,0.838,0.75,-3.09,1,0.242,0.887,128.05200000000002,2019-04-05,album,genius.com,0.0,0.03125,0.03125,0.0,0.03125,0.0,0.03125,0.0,0.0,0.03125
2042,Big,4rWC4tiO4NCwRHdh6vyu6b,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,62,224063,0.768,0.6409999999999999,-6.197,0,0.0628,0.231,144.963,2019-03-08,album,genius.com,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.029411764705882353,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.11764705882352941
2043,Nike Ticks,7uD6fsES7FH0tdKOfQOWHf,YNG Martyr,357dDcxIE2hkKGn03PClIF,64,102137,0.779,0.435,-12.745,0,0.33399999999999996,0.525,188.22299999999998,2019-10-11,single,genius.com,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.029411764705882353,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.11764705882352941
2044,Good Thing Go,7hV7333ajQNI1J6R5C9A8c,Quinn XCII,3ApUX1o6oSz321MMECyIYd,61,212453,0.8759999999999999,0.375,-9.341000000000001,1,0.478,0.325,113.90899999999999,2019-02-15,album,genius.com,0.01875,0.009375000000000001,0.043750000000000004,0.0,0.021875,0.024999999999999998,0.0,0.0,0.028124999999999997,0.043750000000000004
2045,Titanic,1EiHkX5JD4UmZzW7sEzcLC,Rod Wave,45TgXXqMDdF8BkjA83OM7z,60,231601,0.782,0.361,-11.888,0,0.344,0.17800000000000002,142.043,2019-11-01,album,genius.com,0.02,0.02,0.016,0.02,0.036000000000000004,0.028,0.012,0.028,0.048000000000000015,0.028
2046,Stay For A While,2AbKro51mAUu7KePC6OkEF,iann dior,6ASri4ePR7RlsvIQgWPJpS,62,165257,0.565,0.528,-4.954,1,0.435,0.396,134.952,2019-11-08,album,genius.com,0.009345794392523364,0.0,0.08878504672897196,0.009345794392523364,0.03271028037383177,0.009345794392523364,0.0,0.009345794392523364,0.028037383177570093,0.11214953271028037
2047,The Christmas Song,3jRBwf09lbRAp2DSPlRx8p,Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,34,270934,0.402,0.239,-14.507,1,0.934,0.19699999999999998,106.51799999999999,2019-11-22,single,genius.com,0.015082956259426848,0.25188536953242774,0.25188536953242774,0.024132730015082964,0.25188536953242774,0.015082956259426848,0.004524886877828055,0.024132730015082964,0.028657616892911023,0.27149321266968257
2048,Imagination,6OvgR29yzwUQ0jNVj3unPc,Labrinth,2feDdbD5araYcm6JhFHHw7,43,90000,0.32299999999999995,0.36,-10.97,1,0.568,0.14300000000000002,83.681,2019-11-22,album,genius.com,0.0045662100456621,0.0136986301369863,0.0593607305936073,0.0091324200913242,0.01598173515981735,0.00228310502283105,0.00684931506849315,0.01141552511415525,0.02054794520547945,0.0684931506849315
2049,Syphilis,4dOmgE4ULbySxpeGObN8RL,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,62,131761,0.782,0.659,-3.103,1,0.0696,0.336,148.03,2019-03-08,album,genius.com,0.01263157894736842,0.021052631578947364,0.00631578947368421,0.004210526315789474,0.010526315789473684,0.010526315789473684,0.008421052631578947,0.010526315789473684,0.01894736842105263,0.01894736842105263
2050,Cold Heart,0nlYDHCvmzqEQC4RXXXzxd,Luh Kel,24CgJHK6T7C5OmUbiLLMjJ,52,134688,0.7559999999999999,0.588,-7.617000000000001,0,0.253,0.637,129.882,2019-11-15,album,genius.com,0.003246753246753247,0.02272727272727273,0.019480519480519484,0.0,0.02272727272727273,0.012987012987012988,0.006493506493506494,0.006493506493506494,0.029220779220779227,0.029220779220779227
2051,Super Car,3PqUAwpVHXr3GOCAL22mfo,SuperM,5BHFSMEjfLVx1JwRWjAOsE,68,214360,0.607,0.85,-4.725,0,0.0503,0.7829999999999999,154.961,2019-10-04,album,genius.com,0.004615384615384615,0.021538461538461538,0.03384615384615384,0.006153846153846154,0.013846153846153848,0.007692307692307693,0.009230769230769232,0.018461538461538463,0.03384615384615384,0.03846153846153845
2052,Picasso,5Es5pG548uc04wSlpBKlUN,Hopsin,7EWU4FhUJM1sZQgQKdENeT,65,197877,0.606,0.795,-6.619,1,0.31,0.608,165.21200000000005,2019-05-08,single,genius.com,0.02653061224489796,0.040816326530612235,0.012244897959183675,0.030612244897959186,0.012244897959183675,0.020408163265306124,0.010204081632653062,0.038775510204081626,0.07142857142857137,0.0551020408163265
2053,Jerome,4l21VaodybkZaNRqwzSBZl,Lizzo,56oDRnqbIiwx4mymNEv7dS,64,231570,0.674,0.542,-6.983,1,0.0476,0.534,150.97899999999996,2019-05-03,album,genius.com,0.02247191011235955,0.018726591760299626,0.00749063670411985,0.0,0.003745318352059925,0.02247191011235955,0.0,0.018726591760299626,0.02247191011235955,0.0149812734082397
