,Track_Name,Track_Id,Artists_All,Artists_IDs,popularity,LengthOfTrack_sec,danceability,energy,loudness,mode_Major1happier,acousticness,valence,tempo,album_type
4802,"""Neumeister chorales"" - Christ, der du bist der helle Tag, BWV 1120: BWV 1120",0VOUjAGZuGUYQpX0DZNbVK,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,110.143,0.234,0.17,-16.348,0,0.951,0.148,72.784,album
4803,"""Orgelbüchlein"" - Wenn wir in höchsten Nöten sein, BWV 641: BWV 641",0lLbAPZ1qoiGYNljn0Jdfv,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",1,117.615,0.122,0.00878,-37.372,1,0.983,0.0873,72.721,album
4804,"Chorale partita - Sei gegrüßet, Jesu gütig, BWV 768 - Variation V: Variation V",0y4JhymsPJz2c2qVniw3Q2,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",5,71.469,0.152,0.11,-25.309,0,0.973,0.575,66.881,album
4805,"Chorale partita - O Gott, du frommer Gott, BWV 767 - Partita I: Partita I",0y4Wm2MrZASErTGbOdFXrF,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,58.263,0.155,0.00929,-27.063,0,0.98,0.569,78.765,album
4806,"""Kirnberger chorales "" - Allein Gott in der Höh sei Ehr, BWV 717: BWV 717",0y5jROfTPzx9d2zYJHNUnp,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",1,173.759,0.165,0.00834,-35.745,1,0.98,0.207,67.817,album
4807,"""Eighteen Leipziger chorales"" - Nun komm, der Heiden Heiland, BWV 659: BWV 659",1H4mLvURMFqKWF9mfYvWES,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",4,301.495,0.0974,0.0124,-26.929,0,0.836,0.0726,61.685,album
4808,"""Kirnberger chorales "" - Allein Gott in der Höh sei Ehr, BWV 715: BWV 715",1LgSSKwA6pWL84oVa1P8Df,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",1,124.894,0.146,0.218,-14.43,1,0.911,0.0798,92.663,album
4809,"Fantasia C Minor, BWV 537",1Orz6OImAR103mGCGZIOP9,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,276.598,0.0643,0.058,-21.642,0,0.902,0.0331,65.487,album
4810,"Keyboard Sonata in D Minor, BWV 964: I. Adagio",1S4a6veTKdd4WGQ4O5J4st,"('Johann Sebastian Bach', 'Alexandra Papastefanou')","('5aIqB5nVVvmFsvSdExz408', '5sPok1nKe7zxDhfPXTBIn2')",8,255.64,0.347,0.0177,-28.743,0,0.995,0.313,74.208,album
4811,"""Neumeister chorales"" - Christus, der ist mein Leben, BWV 1112: BWV 1112",1U8TgVGogS7gAWWnW2tKBG,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",3,85.595,0.129,0.0372,-22.073,1,0.972,0.227,68.873,album
